73,15,22139
501,15,25001
588,15,91147
787,15,81649
937,15,62198
941,15,22959
1358,15,72832
1756,15,19174
1983,15,94947
2894,15,96795
3312,15,82778
3372,15,62199
3592,15,14664
3622,15,44537
3650,15,40255
3815,15,43176
4097,15,77627
4349,15,62064
4900,15,90070
5375,15,44056
5865,15,67640
6210,15,61153
6432,15,88606
6554,15,95142
6677,15,83894
6849,15,71701
7276,15,11116
7282,15,66375
7383,15,12776
7419,15,87669
7422,15,16828
7648,15,83189
7803,15,39594
8913,15,14103
8971,15,18099
9240,15,31655
9381,15,94447
9740,15,97181
9820,15,74803
9931,15,40997
10087,15,9270
10895,15,20596
11083,15,87669
11143,15,56810
11704,15,34457
11935,15,6985
12168,15,73438
12779,15,10649
12787,15,11959
13537,15,86879
13810,15,50539
13833,15,48176
14045,15,26453
14164,15,44764
14189,15,26688
14554,15,45815
14570,15,60185
14603,15,81029
14926,15,38126
15434,15,41101
15610,15,72248
15867,15,62391
16550,15,74278
16866,15,67078
17315,15,84560
17753,15,9017
18368,15,44303
19292,15,97953
19303,15,10191
19669,15,56879
19921,15,19335
20089,15,13310
20167,15,34051
20358,15,84893
20900,15,50787
21058,15,32143
21134,15,7700
21469,15,55655
22206,15,92689
22990,15,63140
23129,15,15397
23910,15,74912
24565,15,94457
25239,15,29447
25575,15,39924
25774,15,59644
26865,15,38844
26938,15,90313
26973,15,60874
27114,15,214
27174,15,62308
27523,15,92587
27814,15,29075
27874,15,36527
27982,15,26252
28162,15,57821
28227,15,36471
28282,15,67121
28515,15,95463
28993,15,77085
29253,15,71814
29312,15,6677
29412,15,60692
30196,15,18693
30657,15,46829
30931,15,55507
31054,15,22999
31646,15,68563
31744,15,10316
32036,15,67769
32123,15,89326
32434,15,45964
32811,15,86020
32844,15,81619
32918,15,557
33290,15,1237
33394,15,51419
33462,15,49909
33514,15,37442
33877,15,80850
33957,15,81002
33962,15,64907
33988,15,98702
34744,15,3303
35190,15,7850
35242,15,39718
35341,15,12845
35364,15,66281
35537,15,37914
35757,15,22887
35912,15,3168
36646,15,73859
36685,15,84135
36945,15,964
37057,15,2616
37149,15,57249
38103,15,31250
38478,15,36233
38641,15,70589
38677,15,85563
39424,15,19368
39693,15,72500
39933,15,45188
39966,15,38590
40029,15,65037
40575,15,65293
40632,15,13556
40911,15,34472
40989,15,42441
41219,15,67508
41262,15,83049
41452,15,81484
41646,15,14626
41715,15,47442
41799,15,48970
41861,15,3177
41910,15,87699
42186,15,44263
42288,15,30655
42450,15,80499
42613,15,38780
42644,15,31611
42714,15,45097
43047,15,33110
43167,15,43108
43538,15,65809
43623,15,72259
43661,15,60690
43846,15,68079
44351,15,72749
44360,15,68681
44395,15,45138
44715,15,73300
45046,15,92847
45069,15,23647
45100,15,42336
45370,15,38884
45706,15,69459
46071,15,84374
46550,15,1381
46659,15,54353
47372,15,99925
47508,15,54037
47550,15,18910
47780,15,11494
47941,15,92876
47962,15,95138
48196,15,88340
48402,15,64868
48631,15,94306
49010,15,10800
49153,15,86405
49654,15,76091
50385,15,60133
50793,15,82165
51132,15,67892
51192,15,20773
51725,15,31355
51900,15,28642
52083,15,13987
52118,15,32796
52227,15,70070
52233,15,87797
52551,15,56975
52583,15,37004
52999,15,6281
53161,15,59626
53376,15,82718
53768,15,19348
54406,15,46708
54612,15,24791
54644,15,57904
54695,15,91292
54700,15,38763
54951,15,77775
54956,15,60682
55004,15,9604
55468,15,89086
56405,15,99012
57170,15,27846
57228,15,67365
57342,15,80592
57872,15,75468
58011,15,76801
58369,15,93296
58910,15,46207
58997,15,751
59527,15,47342
59956,15,10079
60132,15,45231
60533,15,72003
60843,15,89685
61394,15,2789
61399,15,30391
62127,15,78381
62889,15,52549
63052,15,53583
63157,15,23218
64048,15,93188
64285,15,32934
65217,15,91533
65328,15,20696
65615,15,38634
